party,first_name,last_name
Democrat,jim,langevin
Democrat,jimmy,gomez
Democrat,jimmy,panetta
Democrat,joaquin,castro
Republican,jodey,arrington
Republican,jody,hice
Democrat,joe,courtney
Democrat,joe,cunningham
Democrat,joe,neguse
Republican,joe,wilson
Republican,john,carter
Republican,john,curtis
Democrat,john,garamendi
Republican,john,joyce
Republican,john,katko
Democrat,john,larson
Democrat,john,lewis
Republican,john,moolenaar
Republican,john,ratcliffe
Republican,john,rose
Republican,john,rutherford
Democrat,john,sarbanes
Republican,john,shimkus
Democrat,john,yarmuth
Republican,john ,curtis 
Democrat,jose,serrano
Democrat,joseph,kennedy
Democrat,joseph,morelle
Democrat,josh,gottheimer
Democrat,josh,harder
Democrat,joyce,beatty
Democrat,juan,vargas
Democrat,judy,chu
Democrat,julia,brownley
Independent,justin,amash
Republican,k.,conaway
Democrat,kaiali'i,kahele
Democrat,karen,bass
Republican,katherine,cammack
Democrat,katherine,clark
Democrat,kathleen,rice
Democrat,kathy,castor
Democrat,kathy,manning
Democrat,katie,hill
Democrat,katie,porter
Republican,kay,granger
Republican,kelly,armstrong
Republican,kenneth,buck
Republican,ken,calvert
Democrat,kendra,horn
Republican,kenny,marchant
Republican,kevin,brady
Republican,kevin,hern
Republican,kevin,mccarthy
Democrat,kim,schrier
Democrat,kurt,schrader
Democrat,kweisi,mfume
Republican,lance,gooden
Republican,larry,bucshon
Republican,lauren,boebert
Democrat,lauren,underwood
Republican,lee,zeldin
Democrat,linda,sanchez
Democrat,lisa,blunt rochester
Republican,lisa,mcclain
Democrat,lisa,rochester
Republican,liz,cheney
Democrat,lizzie,fletcher
Democrat,lloyd,doggett
Republican,lloyd,smucker
Democrat,lois,frankel
Democrat,lori,trahan
Republican,louie,gohmert
Democrat,lucille,allard
Democrat,lucille,roybal-allard
Democrat,lucy,mcbath
Democrat,luis,correa
Democrat,madeleine,dean
Democrat,marc,veasey
Democrat,marcia,fudge
Democrat,marcy,kaptur
Republican,maria,salazar
Republican,mariannette,miller-meeks
Democrat,marie,newman
Democrat,marilyn,strickland
Republican,mario,balart
Republican,mario,diaz-balart
Republican,marjorie,greene
Republican,mark,amodei
Democrat,mark,desaulnier
Republican,mark,green
Republican,mark,meadows
Democrat,mark,pocan
Democrat,mark,takano
Republican,mark,walker
Republican,markwayne,mullin
Republican,martha,roby
Republican,mary,miller
Democrat,mary,scanlon
Democrat,mary gay,scanlon
Democrat,matt,cartwright
Republican,matt,gaetz
Democrat,matthew,cartwright
Republican,matthew,rosendale
Democrat,max,rose
Democrat,maxine,waters
Republican,michael,burgess
Republican,michael,cloud
Republican,michael,guest
Republican,michael,mccaul
Democrat,michael,nicolas
Republican,michael,simpson
Republican,michael,turner
Republican,michael,waltz
Republican,michelle,fischbach
Republican,michelle,steel
Republican,mike,bost
Democrat,mike,doyle
Republican,michael,gallagher
Republican,michael,garcia
Republican,mike,johnson
Republican,mike,kelly
Democrat,mike,levin
Democrat,mike,quigley
Republican,mike,rogers
Republican,mike,simpson
Democrat,mike,thompson
Democrat,mikie,sherrill
Republican,mo,brooks
Democrat,mondaire,jones
Republican,morgan,griffith
Republican,nancy,mace
Democrat,nancy,pelosi
Democrat,nanette,barragan
Republican,neal,dunn
Republican,nicole,malliotakis
Democrat,nikema,williams
Democrat,nita,lowey
Democrat,norma,torres
Democrat,nydia,velazquez
Republican,patrick,fallon
Republican,patrick,mchenry
Republican,paul,cook
Republican,paul,gosar
Republican,paul,mitchell
Democrat,paul,tonko
Democrat,pete,aguilar
Republican,pete,olson
Republican,pete,sessions
Republican,pete,stauber
Democrat,peter,defazio
Republican,peter,king
Republican,peter,meijer
Democrat,peter,visclosky
Democrat,peter,welch
Democrat,pramila,jayapal
Democrat,raja,krishnamoorthi
Republican,ralph,abraham
Republican,ralph,norman
Republican,randy,feenstra
Republican,randy,weber
Democrat,rashida,tlaib
Democrat,raúl,grijalva
Democrat,raúl,ruiz
Republican,richard,hudson
Democrat,richard,neal
Republican,richard,allen
Republican,rick,crawford
Democrat,rick,larsen
Democrat,ritchie,torres
Democrat,rohit,khanna
Republican,rob,bishop
Republican,rob,woodall
Republican,robert,aderholt
Republican,robert,good
Republican,robert,latta
Democrat,robert,scott
Republican,robert,wittman
Democrat,robin,kelly
Republican,rodney,davis
Republican,roger,marshall
Republican,roger,williams
Republican,ron,estes
Democrat,ron,kind
Republican,ron,wright
Republican,ronald,wright
Republican,ronny,jackson
Democrat,rosa,delauro
Republican,ross,spano
Democrat,ruben,gallego
Republican,russ,fulcher
Democrat,salud,carbajal
Republican,sam,graves
Democrat,sanford,bishop
Democrat,sara,jacobs
Republican,scott,desjarlais
Republican,scott,fitzgerald
Republican,scott,franklin
Republican,scott,perry
Democrat,scott,peters
Republican,scott,tipton
Democrat,sean,casten
Republican,sean,duffy
Democrat,sean,maloney
Democrat,sean patrick,maloney
Democrat,seth,moulton
Democrat,sharice,davids
Democrat,sheila,lee
Democrat,shelia,jackson lee
Democrat,stacey,plaskett
Republican,stella,herrell
Democrat,steny,hoyer
Republican,stephanie,bice
Democrat,stephanie,murphy
Democrat,stephen,lynch
Republican,steve,chabot
Democrat,steve,cohen
Republican,steve,king
Republican,steve,scalise
Republican,steve,stivers
Republican,steve,watkins
Republican,steve,womack
Democrat,steven,horsford
Republican,steven,palazzo
